Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Spectral Class,Star type
3432,0.00067,0.19,16.94,0,0
2983,0.00023999999999999998,0.094,16.09,0,0
2835,0.00033999999999999997,0.0918,16.96,0,0
2935,0.00014,0.11599999999999999,18.89,0,0
3295,0.00098,0.132,17.13,0,0
2945,0.00032,0.09300000000000001,18.34,0,0
2817,0.00098,0.0911,16.45,0,0
2774,0.00036,0.11800000000000001,17.39,0,0
2871,0.00072,0.12,19.43,0,0
3345,0.021,0.273,12.3,0,1
3607,0.022000000000000002,0.38,10.12,0,1
3304,0.0085,0.18,13.2,0,1
3150,0.0088,0.35,11.94,0,1
3550,0.004,0.29100000000000004,10.89,0,1
3180,0.001,0.35,11.76,0,1
2890,0.0034,0.24,13.46,0,1
3342,0.0015,0.307,11.87,0,1
2621,0.0006,0.098,12.81,0,1
3158,0.00135,0.161,13.98,0,1
7100,0.00029,0.012,14.09,3,2
10574,0.00014,0.0092,12.02,3,2
8930,0.00056,0.0095,13.78,4,2
17200,0.00098,0.015,12.45,5,2
14100,0.00067,0.0089,12.17,5,2
9675,0.00045,0.0109,13.98,4,2
12010,0.00078,0.0092,12.13,5,2
10980,0.00074,0.0087,11.19,5,2
13720,0.00018,0.00892,12.97,3,2
19860,0.0011,0.0131,11.34,5,2
5300,0.59,0.91,5.49,3,3
4526,0.153,0.865,6.506,1,3
4077,0.085,0.795,6.228,1,3
4980,0.35700000000000004,1.13,4.78,1,3
9030,45.0,2.63,1.45,4,3
11250,672.0,6.98,-2.3,4,3
5112,0.63,0.8759999999999999,4.68,1,3
7720,7.92,1.34,2.44,3,3
12098,689.0,7.01,0.02,4,3
36108,198000.0,10.2,-4.4,6,3
33300,240000.0,12.0,-6.5,5,4
40000,813000.0,14.0,-6.23,6,4
23000,127000.0,36.0,-5.76,6,4
17120,235000.0,83.0,-6.89,6,4
11096,112000.0,12.0,-5.91,6,4
14245,231000.0,42.0,-6.12,6,4
24630,363000.0,63.0,-5.83,6,4
12893,184000.0,36.0,-6.34,6,4
24345,142000.0,57.0,-6.24,6,4
33421,352000.0,67.0,-5.79,6,4
3459,100000.0,1289.0,-10.7,0,5
3605,126000.0,1124.0,-10.81,0,5
3615,200000.0,1635.0,-11.33,0,5
3399,117000.0,1486.0,-10.92,0,5
3610,132000.0,1522.0,-10.86,0,5
3553,145000.0,1324.0,-11.03,0,5
4015,282000.0,1534.0,-11.39,1,5
3625,74000.0,876.0,-10.25,0,5
6850,229000.0,1467.0,-10.07,2,5
3780,200000.0,1324.0,-10.7,0,5
3323,0.00043,0.0912,17.16,0,0
3531,0.00093,0.0976,19.94,0,0
3218,0.00054,0.11,20.02,0,0
3146,0.00015,0.0932,16.92,0,0
3511,0.00064,0.109,17.12,0,0
3225,0.0007599999999999999,0.121,19.63,0,0
2935,0.0008699999999999999,0.0932,16.88,0,0
2861,0.00018999999999999998,0.0899,16.71,0,0
2856,0.0008960000000000001,0.0782,19.56,0,0
2731,0.000437,0.0856,18.09,0,0
3095,0.00018999999999999998,0.49200000000000005,10.87,0,1
3607,0.00022999999999999998,0.38,10.34,0,1
3100,0.008,0.31,11.17,0,1
2989,0.0087,0.34,13.12,0,1
3542,0.0009,0.62,14.23,0,1
3243,0.0023,0.73,14.75,0,1
3091,0.0081,0.24,11.43,0,1
3598,0.0011,0.56,14.26,0,1
3324,0.0034,0.34,12.23,0,1
3541,0.0013,0.256,14.33,0,1
13420,0.00059,0.00981,13.67,5,2
21020,0.0015,0.0112,11.52,5,2
18290,0.0013,0.009340000000000001,12.78,5,2
14520,0.00082,0.00972,11.92,5,2
11900,0.00067,0.00898,11.38,5,2
8924,0.00028,0.008790000000000001,14.87,4,2
12912,0.0007099999999999999,0.00945,12.83,5,2
14732,0.00011,0.00892,12.89,3,2
7723,0.00014,0.00878,14.81,4,2
12984,0.00088,0.00996,11.23,5,2
29560,188000.0,6.02,-4.01,5,3
8945,38.0,2.487,0.12,4,3
14060,1092.0,5.745,-2.04,4,3
16390,1278.0,5.68,-3.32,5,3
25070,14500.0,5.92,-3.98,5,3
28700,16790.0,6.4,-4.09,5,3
26140,14520.0,5.49,-3.8,5,3
20120,4720.0,6.78,-3.4,5,3
13023,998.0,6.21,-1.38,4,3
37800,202900.0,6.86,-4.56,6,3
25390,223000.0,57.0,-5.92,6,4
11567,251000.0,36.0,-6.245,6,4
12675,452000.0,83.0,-5.62,6,4
5752,245000.0,97.0,-6.63,6,4
8927,239000.0,35.0,-7.34,6,4
7282,131000.0,24.0,-7.22,6,4
19923,152000.0,73.0,-5.69,6,4
26373,198000.0,39.0,-5.83,6,4
17383,342900.0,30.0,-6.09,6,4
9373,424520.0,24.0,-5.99,6,4
3570,320000.0,1480.0,-7.58,0,5
3500,138000.0,1420.0,-8.18,0,5
4287,630000.0,1315.0,-9.2,1,5
26000,316000.0,1679.0,-9.1,5,5
3600,240000.0,1190.0,-7.89,0,5
3614,145000.0,1553.0,-7.71,0,5
18000,200000.0,1045.0,-8.3,6,5
11000,170000.0,1779.0,-9.9,5,5
12100,120000.0,708.9,-7.84,5,5
24490,248490.0,1134.5,-8.24,5,5
2831,0.000231,0.0915,16.21,0,0
2914,0.0006309999999999999,0.11599999999999999,18.39,0,0
3419,0.000245,0.126,17.56,0,0
3218,0.000452,0.0987,17.34,0,0
3453,0.000621,0.0773,17.08,0,0
2889,0.000352,0.0973,16.93,0,0
2968,0.00046100000000000004,0.11900000000000001,17.45,0,0
3484,0.000551,0.0998,16.67,0,0
2778,0.000849,0.11199999999999999,19.45,0,0
3523,0.0009570000000000001,0.129,16.35,0,0
3462,0.0053,0.14800000000000002,11.47,0,1
3257,0.0024,0.46,10.73,0,1
2994,0.0072,0.28,13.45,0,1
3212,0.0016,0.37799999999999995,12.854000000000001,0,1
3523,0.0054,0.319,12.43,0,1
3598,0.0027,0.67,13.667,0,1
3142,0.00132,0.258,14.12,0,1
3496,0.00125,0.336,14.94,0,1
3324,0.0065,0.47100000000000003,12.78,0,1
3463,0.0027,0.675,14.776,0,1
16790,0.0014,0.0121,12.87,5,2
15680,0.00122,0.0114,11.92,5,2
14982,0.00118,0.0113,12.23,5,2
13340,0.00109,0.0116,12.9,5,2
18340,0.00134,0.0124,11.22,5,2
19920,0.00156,0.0142,11.34,5,2
24020,0.00159,0.0127,10.55,5,2
23092,0.00132,0.0104,10.18,5,2
17920,0.0011099999999999999,0.0106,11.66,5,2
19360,0.00125,0.00998,11.62,5,2
22350,12450.0,6.36,-3.67,5,3
10012,552.0,5.856,0.013000000000000001,4,3
13089,788.0,5.992000000000001,-0.12,4,3
22012,6748.0,6.64,-2.55,5,3
34190,198200.0,6.39,-4.57,6,3
32460,173800.0,6.237,-4.36,6,3
9320,29.0,1.91,1.236,4,3
19400,10920.0,6.03,-3.08,5,3
17140,883.0,5.653,-2.64,5,3
8250,9.25,1.93,-0.98,3,3
23678,244290.0,35.0,-6.27,6,4
12749,332520.0,76.0,-7.02,6,4
9383,342940.0,98.0,-6.98,6,4
23440,537430.0,81.0,-5.975,6,4
16787,246730.0,62.0,-6.35,6,4
18734,224780.0,46.0,-7.45,6,4
9892,593900.0,80.0,-7.2620000000000005,6,4
10930,783930.0,25.0,-6.224,6,4
23095,347820.0,86.0,-5.905,6,4
21738,748890.0,92.0,-7.346,6,4
24145,382993.0,1494.0,-8.84,5,5
38234,272830.0,1356.0,-9.29,6,5
32489,648430.0,1948.5,-10.84,6,5
27739,849420.0,1252.0,-7.59,5,5
21904,748490.0,1130.0,-7.67,5,5
38940,374830.0,1356.0,-9.93,6,5
30839,834042.0,1194.0,-10.63,6,5
8829,537493.0,1423.0,-10.73,4,5
9235,404940.0,1112.0,-11.23,4,5
37882,294903.0,1783.0,-7.8,6,5
