Class Index,Title,Description
3,it alligator tales,i grew up in new york where giant alligators  sometimes more ornately described as albino alligators  were rumored to roam the citys sewer systems according to legend vacationers picked up the tiny crocodilians in florida brought them home to new york and eventually flushed the little buggers when they grew too big for the local concrete jungle
3,it myth 5 most it projects fail,do most it projects fail some point to the number of giant consultancies such as ibm global services capgemini and sapient who feed off bad experiences encountered by enterprises sapient is a company founded on the realization that it projects are not successful says sapient cto ben gaucherin
3,bea grabs ca exec to head product group,bea systems inc has hired the computer associates international inc executive responsible for ca s unicenter line of enterprise management software to head bea s product development group
3,autodesk tackles project collaboration,autodesk this week unwrapped an updated version of its hosted project collaboration service targeted at the construction and manufacturing industries autodesk buzzsaw lets multiple dispersed project participants  including building owners developers architects construction teams and facility managers  share and manage data throughout the life of a project according to autodesk officials
3,u k s nhs taps gartner to help plan $9b it overhaul,london  the u k s national health service nhs has tapped it researcher gartner inc to provide market intelligence services as the health organization forges ahead with a mammoth 5 billion  $9 2 billion project to upgrade its information technology infrastructure
3,play boys google ipo a go anyway,even though google s two founders gave an interview to playboy magazine in the midst of its ipo filing the sec allowed the company s offering to go ahead the boys filed the interview with the sec and corrected mistakes in it
3,more big boobs in playboy,an interview with google s co founders due out in the current issue of playboy may delay the company s ipo securities regulations restrict what executives can say while preparing to sell stock for the first time
3,dutch firm beats apple to punch,a music retailer from the netherlands beats apple by launching a download service in europe s latest market battleground also movie industry wrests agreement from defunct company microsoft challenges photoshop  hellip  and more
3,hp to buy synstar,hewlett packard will pay $297 million for the british company also tivo goes all out to attract customers  hellip  sprint offers service guarantees for business wireless subscribers  hellip  and more
3,a personal operator from verizon,verizon plans to offer a service that would act as a virtual switchboard operator letting customers stay in touch at all times the program would send phone calls voicemails and e mails wherever customers designate by elisa batista
3,paid search growth may slow,a new internet advertising forecast shows a slowdown in paid search listings in the next five years will the projection affect google s prospects when it goes public
3,fark sells out france surrenders,blogs are the hottest thing on the net but are they messing with traditional publishing principles one of the most popular fark com is allegedly selling links is it the wave of the future by daniel terdiman
4,madden  espn football score in different ways reuters,reuters  was absenteeism a little high on tuesday among the guys at the office ea sports would like to think it was because madden nfl 2005 came out that day and some fans of the football simulation are rabid enough to take a sick day to play it
4,group to propose new high speed wireless format reuters,reuters  a group of technology companies including texas instruments inc  txn n  stmicroelectronics stm pa and broadcom corp  brcm o  on thursday said they will propose a new wireless networking standard up to 10 times the speed of the current generation
4,aol to sell cheap pcs to minorities and seniors reuters,reuters  america online on thursday said it plans to sell a low priced pc targeting low income and minority households who agree to sign up for a year of dialup internet service
4,companies approve new high capacity disc format reuters,reuters  a group of consumer electronics makers said on wednesday they approved the format for a new generation of discs that can store five times the data of dvds at the same cost  enough to put a full season of the sopranos on one disc
4,missing june deals slow to return for software cos  reuters,reuters  the mystery of what went wrong for the software industry in late june when sales stalled at more than 20 brand name companies is not even close to being solved although the third quarter is nearly halfway over
4,hacker cracks apple s streaming technology ap,ap  the norwegian hacker famed for developing dvd encryption cracking software has apparently struck again  151 this time breaking the locks on apple computer inc s wireless music streaming technology
4,european download services go mobile reuters,reuters  the ability to download complete tracks directly over cell phone networks to mobile phones is becoming a reality in europe
4,open source apps developer sugarcrm releases sugar sales 1 1 techweb,techweb  news  august 13 2004
4,oracle sales data seen being released reuters,reuters  oracle corp sales documents detailing highly confidential information such as which companies receive discounts on oracle s business software products and the size of the discounts are likely to be made public a federal judge said on friday
4,sun s looking glass provides 3d view pc world,pc world  developers get early code for new operating system skin still being crafted
4,apple to open second japanese retail store this month maccentral,maccentral  apple computer inc will open its second japanese retail store later this month in the western japanese city of osaka it said thursday
4,charley s force took experts by surprise ap,ap  hurricane charley s 145 mph force took forecasters by surprise and showed just how shaky a science it still is to predict a storm s intensity  151 even with all the latest satellite and radar technology
4,science politics collide in election year ap,ap  with more than 4 000 scientists including 48 nobel prize winners having signed a statement opposing the bush administration s use of scientific advice this election year is seeing a new development in the uneasy relationship between science and politics
4,building dedicated to columbia astronauts ap,ap  a former dormitory converted to classrooms at the pensacola naval air station was dedicated friday to two columbia astronauts who were among the seven who died in the shuttle disaster feb 1 2003
4,russian cargo craft docks at space station ap,ap  a russian cargo ship docked with the international space station saturday bringing food water fuel and other items to the two man russian american crew a space official said
4,bangkok s canals losing to urban sprawl ap,ap  along the banks of the canal women in rowboats grill fish and sell fresh bananas families eat on floating pavilions rocked gently by waves from passing boats
4,t rex had teen growth spurt scientists say reuters,reuters  tyrannosaurus rex grew incredibly fast during a teenaged growth spurt that saw the dinosaur expand its bulk by six times but the fearsome beasts lived fast and died young  researchers said on wednesday
4,gene blocker turns monkeys into workaholics  study reuters,reuters  procrastinating monkeys were turned into workaholics using a gene treatment to block a key brain compound u s researchers reported on wednesday
4,dolphins too have born socialites reuters,reuters  some people are born to be the life and soul of the party  and so it seems are some dolphins
4,what s in a name well matt is sexier than paul reuters,reuters  as shakespeare said a rose by any other name would smell as sweet right
4,uk scientists allowed to clone human embryos reuters,reuters  british scientists said on wednesday they had received permission to clone human embryos for medical research in what they believe to be the first such license to be granted in europe
4,russian alien spaceship claims raise eyebrows skepticism space com,space com  an expedition of russian researchers claims to have found evidence that an  alien spaceship had something to do with a huge explosion over siberia in 1908 experts in asteroids and comets have long said the massive blast was caused  by a space rock
4,comets asteroids and planets around a nearby star space com,space com  a nearby star thought to harbor comets and asteroids now appears to be home to planets too the presumed worlds are smaller than jupiter and could be as tiny as pluto new observations suggest
4,perseid meteor shower peaks overnight space com,space com  a fine display of shooting stars is underway and peaks overnight wednesday into early thursday morning astronomers expect the 2004 perseid meteor shower to be one of the best versions of the annual event in several years
4,redesigning rockets nasa space propulsion finds a new home space com,space com  while the exploration of the moon and other planets in our solar system is nbsp exciting the first task for astronauts and robots alike is to actually nbsp get to those destinations
4,studies find rats can get hooked on drugs ap,ap  rats can become drug addicts that s important to know scientists say and has taken a long time to prove now two studies by french and british researchers show the animals exhibit the same compulsive drive for cocaine as people do once they re truly hooked
4,nasa chief  let s go save the hubble  space com,space com  amid uncertainty over the fate of the hubble space telescope and with a key instrument not working nasa administrator sean o keefe gave the go ahead monday for planning a robotic servicing mission
4,armadillo aerospaces x prize prototype crashes space com,space com  armadillo aerospace of mesquite texas has reported a crash last weekend of their prototype x prize rocket
4,prairie dog won t be on endangered list ap,ap  the black tailed prairie dog has been dropped from a list of candidates for the federal endangered species list because scientists have concluded the rodents are no longer threatened
4,hubble trouble one of four instruments stops working space com,space com  one of the four astronomical instruments on the hubble space telescope shut down earlier this week and engineers are trying to pin down the problem the other three instruments continue to operate normally
4,invasive purple weed may meet its match ap,ap  they burned it mowed it sprayed it and flooded it but nothing killed the purple loosestrife weed which has become a regional plague until officials at the parker river national wildlife refuge set a european beetle loose on it
4,new nasa supercomputer to aid theorists and shuttle engineers space com,space com  nasa researchers have teamed up with a pair of silicon valley firms to build  a supercomputer that ranks alongside the world s largest linux based systems
4,ants form supercolony spanning 60 miles ap,ap  normally clannish and agressive argentine ants have become so laid back since arriving in australia decades ago that they no longer fight neighboring nests and have formed a supercolony here that spans 60 miles scientists say
4,viewer s guide perseid meteor shower peaks aug 11 12 space com,space com  every august when many  people are vacationing in the country where skies are dark the best known meteor  shower makes its appearance the annual perseid meteor shower as it is called promised to put on an above average display this year
4,rescuers free beached whale in brazil ap,ap  rescuers succeeded in freeing a minke whale that washed up on a beach in southeastern brazil the fire department said thursday
4,red footed falcon sighted in mass  ap,ap  a red footed falcon spotted for the first time in north america is enticing birdwatchers to martha s vineyard
4,weak version of most powerful explosions found space com,space com  gamma ray bursts are the most powerful events in the universe temporary outshining several galaxies and likely signaling the birth of a black hole
4,simultaneous tropical storms a rarity ap,ap  the prospect that a tropical storm and a hurricane  151 or possibly two hurricanes  151 could strike florida on the same day is something meteorologists say they have never seen
4,nasa s genesis spacecraft adjusts course ap,ap  nasa s genesis spacecraft successfully adjusted its course this week as it heads back toward earth with a sample of solar wind particles the space agency said wednesday
4,earth is rare new study suggests space com,space com  flip a coin heads earth is a common sort of planet tails and ours is as unusual as a coin landing on edge that s about the state of knowledge for scientists who ponder the question of our planet s rarity
4,scientists probe pacific for dead zone ap,ap  his hand on a toggle switch and his eyes on a computer screen oregon state university graduate student anthony kirincich uses an array of scientific instruments to probe the vibrant waters of the pacific he is searching for the absence of life
4,life on mars likely scientist claims space com,space com  denver colorado  those twin robots hard at work on mars have transmitted teasing views that reinforce the prospect that microbial life may exist on the red planet
4,india rethinks plan to send man to moon ap,ap  india is rethinking its plan to send a man to the moon by 2015 as the mission would cost a lot of money and yield very little in return the national space agency said thursday
4,natural sunblock sun dims in strange ways space com,space com  when venus crossed the sun june 8 showing up as a clear black dot to the delight of millions of skywatchers around the world astronomers noted something less obvious the amount of sunlight reaching earth dipped by 0 1 percent for a few hours
4,website lets users scout the red planet from home space com,space com  for those who want to explore mars but cant wait for a spacecraft to take them there nasa scientists have reformulated a website that lets the general public search data and images from previous missions
4,appeal rejected in trout restoration plan ap,ap  the u s forest service on wednesday rejected environmentalists appeal of a plan to poison a stream south of lake tahoe to aid what wildlife officials call the rarest trout in america
4,explore the many colors of stars space com,space com  one of the pleasures of  stargazing is noticing and enjoying the various colors that stars display in  dark skies these hues offer direct visual evidence of how stellar temperatures  vary
4,britain grants human cloning license ap,ap  britain granted its first license for human cloning wednesday joining south korea on the leading edge of stem cell research which is restricted by the bush administration and which many scientists believe may lead to new treatments for a range of diseases
4,the next great space race spaceshipone and wild fire to go for the gold space com,space com  a piloted rocket ship race to claim a  36 10 million ansari x prize purse for privately financed flight to the edge of space is heating up
4,growth mortality of t rex gets clearer ap,ap  here s a dinosaur finding that parents can appreciate the teenage tyrannosaurus rex typically went through an explosive growth spurt gaining nearly 5 pounds a day
4,space science pioneer van allen questions human spaceflight space com,space com  a leading space scientist has called to question the validity of human spaceflight suggesting that sending astronauts outward from earth is outdated too costly and the science returned is trivial
4,china begins manned space flight countdown ap,ap  chinese astronauts are in the final stages of preparing for a manned space mission that will orbit the globe 14 times before returning to earth a state run newspaper reported thursday
4,sunspot grows to 20 times size of earth space com,space com  a sunspot group aimed squarely  at earth has grown to 20 times the size of our planet and has the potential  to unleash a major solar storm
4,japanese lunar probe facing delays ap,ap  a lunar orbiter that japan had planned to launch this year could face further delays possibly until next year or later because of a funding shortfall and problems developing the probe s information gathering capabilities japan s space agency said wednesday
4,pollutants from asia appear on east coast ap,ap  scientists looking into air quality and climate change have found pollutants from as far as asia over new england and the atlantic
4,vietnam s citadel vulnerable to weather ap,ap  experts from europe and asia surveyed 1 400 year old relics of an ancient citadel in hanoi tuesday and said they were concerned the priceless antiquities were at risk from exposure to the elements
4,u s barred from weakening dolphin rules ap,ap  in a victory for environmentalists a federal judge ruled tuesday that the bush administration cannot change the standards commercial fisheries must meet before the tuna they catch can carry the dolphin safe label
4,canadian robot a candidate to save hubble ap,ap  nasa said tuesday it is moving ahead with plans to send a robot to the rescue of the aging hubble space telescope
4,cave explorers discover pit in croatia ap,ap  cave explorers discovered a pit inside a mountain range in central croatia believed to have the world s deepest subterranean vertical drop at nearly 1 700 feet a scientific institute reported monday
4,aquarium reviews death of dolphin ap,ap  the chief scientist at the national aquarium in baltimore has launched a review of the dolphin breeding program after the death of a 4 month old dolphin
4,scientists seek better way to measure rain ap,ap  meteorologists at north carolina state university are working on a way to more accurately measure rainfall in small areas
4,wash state team s private rocket explodes ap,ap  a team taking a low budget stab at the  36 10 million ansari x prize for private manned spaceflight suffered a setback sunday when their rocket malfunctioned and exploded after shooting less than 1 000 feet in the air
4,nevada ponders superfund status for mine ap,ap  pressured by a ranking senator from nevada and the environmental protection agency gov kenny guinn says he might reconsider his opposition to a federal superfund cleanup declaration for a huge abandoned mine contaminated with toxic waste and uranium
4,indictments using dna on rise nationally ap,ap  authorities once had no choice but to drop rape cases if they weren t able to catch a suspect before the statute of limitations expired but prosecutors across the country increasingly are buying themselves time keeping cold cases alive by indicting unidentified rapists using their dna profiles
4,southeast coast sees fewer turtle nests ap,ap  about half the usual number of loggerhead turtles have nested between north carolina and florida this season and scientists have no explanation for the drop
4,company said to be ready to clone pets ap,ap  a company that unveiled the world s first cloned cat nearly three years ago now says it is ready to start filling orders for cloned pets a newspaper reported thursday
4,deep sea vessel puts ocean floor in reach ap,ap  a new deep sea research vessel will be able to carry people to 99 percent of the ocean floor diving deeper than the famed alvin that pioneered the study of seafloor vents plate tectonics and deep ocean creatures over the past 40 years
4,chorus frog found croaking in virginia ap,ap  the southern chorus frog has been found in southeastern virginia far outside its previously known range the animal had never before been reported north of beaufort county n c  about 125 miles to the south
4,expedition to probe gulf of mexico ap,ap  scientists will use advanced technology never before deployed beneath the sea as they try to discover new creatures behaviors and phenomena in a 10 day expedition to the gulf of mexico s deepest reaches
4,feds accused of exaggerating fire impact ap,ap  the forest service exaggerated the effect of wildfires on california spotted owls in justifying a planned increase in logging in the sierra nevada according to a longtime agency expert who worked on the plan
4,new method may predict quakes weeks ahead ap,ap  swedish geologists may have found a way to predict earthquakes weeks before they happen by monitoring the amount of metals like zinc and copper in subsoil water near earthquake sites scientists said wednesday
4,marine expedition finds new species ap,ap  norwegian scientists who explored the deep waters of the atlantic ocean said thursday their findings  151 including what appear to be new species of fish and squid  151 could be used to protect marine ecosystems worldwide
4,annual study finds rise in beach closures ap,ap  the number of days that beaches closed or posted warnings because of pollution rose sharply in 2003 due to more rainfall increased monitoring and tougher standards an environmental group said on thursday
4,pacific may be seeing new el nino ap,ap  warming water temperatures in the central equatorial pacific last month may indicate the start of a new el nino
4,cassini spacecraft sees saturn lightning ap,ap  the cassini spacecraft s mission to saturn has revealed a new radiation belt around the ringed planet and found that lightning in its atmosphere is occurring in different patterns than it did when nasa s voyagers flew by in the early 1980s scientists said
4,poachers putting endangered rhinos at risk ap,ap  gangs of poachers in congo have been slaughtering the world s minuscule population of northern white rhinos reducing the population by about one half in just more than a year a key conservation organization said friday
4,experts downplay texas shark attacks ap,ap  three shark attacks off the texas coast in the past two months are unusual but don t mean there are more sharks than normal along the beach or that they are getting bolder marine biologists and other experts say
4,study says birds feed other birds young ap,ap  it s a lesson many little humans could learn from baby birds sometimes being nice to other youngsters pays off brown headed cowbirds like several other bird species leave their eggs in the nests of other birds who then feed and raise the cowbird chicks
4,canadian team joins rocket launch contest ap,ap  the  36 10 million competition to send a private manned rocket into space started looking more like a race thursday when a canadian team announced plans to launch its rocket three days after an american group intends to begin qualifying for the ansari x prize
4,universities to build largest telescope ap,ap  the university of texas and texas a amp m university are planning to construct what they call the world s largest telescope with the help of a houston businessman s  36 1 25 million gift
4,mauritanian capital battles locust swarm ap,ap  residents burned tires and trash in the streets thursday trying to drive off swarms of locusts descending on the region in what a u n agency called the worst sub saharan invasion in more than a decade
4,customers of telco companies face privacy breach,a security advisory posted on bugtraq demonstrates how hackers can compromise customers of t mobile wireless and verizon landline voicemail boxes the advisory talks about the use of caller id spoofing the customers number allowing a bypass of the pin code since the voicemail thinks that the customer is calling to check their own voicemail according to secure science corporation there has been no response from the vendors comments have been posted that t mobile has optional pin code protection off by default better turn it on
4,mozilla to add support for xforms world yawns,it s ironic that microsoft could help further cement its dominance in the browser market by joining its largest rival in an effort to support web standards  nbsp at the same time that act would go a long way towards improving the web in general for developers and users alike
4,junk faxes to be legalized as quot opt out quot,the register ran a story on august 6th called phone spam misery looms stateside  it seems that there s legislative nastiness underway in washington dc to essentially gut the existing junk fax law and replace it with a marketer s wet dream
4,biased against whom,liberal bias versus right wing conspiracy is a wonderful distraction there is evidence enough on both sides how can opposite claims be true confront a physicist with evidence supporting contradictory hypotheses and she will go looking for a more basic cause let s try that
4,the visual world of michel gondry,a month ago i was introduced to the works of michel gondry  in short i was amazed and tantalized by his short films and music videos  even if you haven t heard of him you ve probably seen his many works in gap commercials various music videos and the recent movie eternal sunshine of the spotless mind many of his works explode with visual elements that when taken alone are simple and mundane  however under his masterful guidance these elements come together to form a highly mesmerizing visual experience  he never ceases to push visual technologies and challenge our ideas about the visual medium
4,the austral asian strike fighter,the australian defence force must defend and project across an air sea gap this requires long range autonomous strike weaponry the joint strike fighter does not solve this issue and detrimentally places added pressure on australia s limited force of aerial refuelling assets the world s defence manufacturers are not creating strike platforms that solve australian needs for this reason australia needs to look to other nations with similar defence needs in this case japan south korea and taiwan all face defending an air sea gap australia should enter a partnership with these nations to create a strike fighter that satisfies the strategic needs of defending an air sea gap the benefits of such a partnership will be many
4,insecurity  or why americans aren t feeling the recovery,the new republic s website is currently carrying an interesting piece which tries to explain the anomaly that although the us economy is growing a lot of its citizens are still feeling worse off the article explains the results of a 40 year panel study which has shown that although mean incomes have increased income variability has increased massively causing many americans to feel less well off despite the growing economy
4,the great k5 limerick contest,queue submissions being scarce i suggest we all submit limericks for consideration  mod up your favorites i m no poet so i ll submit a favorite of my childhood there was a young woman named bright  who traveled much faster than light  she set out one day in a relative way  and returned on the previous night i m afraid i don t remember the author
4,runtimeproperties  reflection from system properties,java developers often load system properties to customize the runtime behavior of their applications  for example a develoepr could define a max_connections system property to define the maximum number of tcp connections that their application server can support  while nice this prevents all other applications from using this variable name  the first reaction to this would be to namespace your variable names  instead of using max_connections you would now use my application server max_connections as your property name  this works of course but now you have to load this property on startup  public static int max_connections = integer parseint system getproperty  my application se
4,thank you ibm,i just wanted to say thanks to ibm for open sourcing cloudscape  you guys really have your act together  keep up the good work
4,linuxworld ids and privacy,today jonathan moore and i headed over to linuxworld after lunch to see what kind of cool hardware and linux hacks they had on the expo floor  only $15 to get in the door so i figure why not  i m a bit of a privacy freak  when you re trading some security for liberty there are situations where it *might* be worth it  in situations of extreme violence having the police by your side might be a good idea i think we can all agree that trading liberty for *nothing* isn t worth it this country was *founded* on liberty after the british were abusing their colonial powers  every true american should cherish their liberty and think long and hard about just turning them over for no reason
4,my blog as a time machine,i m starting to realize that my blog is a bit of a time machine  for example i can create a blog entry to warn myself about something that will happen in the future my current ntp blog entry is a good example  i wrote this for myself as much as for the people who read my blog or find me via google  i know for sure that ntp on debian is going to bite me sometime in the future and i m going to forget why  then i m going to of course go to google or my aggregator and search for ntp and then find my blog post i ve done this about a dozen times now and its saved me a ton of time
4,ntp in debian,the network time daemon ntp daemon implementation within debian leaves a lot to be desired  first off they don t include it with a working config  you have to create your own etc ntpd conf  to make matters worse the configuration doesn t accept dns names so you have to manually enter ips  fun  i can understand that they might not want to provide one configuration and overwhelm one or two ntp servers but they can provide a dynamic config that balances load among all available servers  there is of course the public serves list but you have to google for it  all you really need to do here is enter a list of servers  server time nist gov server 192 43 244 18
